,ID,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
89,89,Vietnam,Intenso Coffee Roasters,A650,Intenso Coffee Roasters,,cong ty tnhh ca phe sach intenso,1550,"Trạm Hành, Cầu Đất, Lâm Đồng",Tạ Tuấn Anh,200,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Ta tuan anh,"Moka, Typica",Completed,Natural / Dry,8.08,8.0,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.25,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
90,90,Vietnam,8Ro Company,A304,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Đinh Tiên Bảo San,Catimor,Completed,Washed / Wet,8.08,8.0,7.83,7.92,7.75,7.83,10.0,10.0,10.0,7.83,0.0,85.25,11,0,0,green,0,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
91,91,Thailand,Doi Tung Development Project,Typica Natural Process (ICP Rank 2 - 2024),Doi Tung Development Project,,Mae Fah Luang Foundation,1200,"Mae Fah Luang, Chiang Rai",Tanawith Thirintong,1,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Sitthinadda Paphavasit,Typica,Completed,Natural / Dry,8.0,8.0,7.92,7.83,7.83,7.83,10.0,10.0,10.0,7.83,0.0,85.25,9.4,0,0,yellow-green,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
92,92,Guatemala,El Carmen Metzabal,11/63/768,Beneficio Seco (Patios),11/63/768,Asociación Nacional del Cafe,4500-5000,Atitlán,"San Lázaro, S.A.",250,69 kg,Asociacion Nacional Del Café,2024 / 2025,"May 19th, 2025",Evelin Isabel Hernández Paxtor,Catuai,Completed,Washed / Wet,7.75,8.0,7.83,8.0,7.92,7.92,10.0,10.0,10.0,7.83,0.0,85.25,11,0,0,green,2,"May 19th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
93,93,Taiwan,泥妲咖啡 Nita Coffee Manor,"2024 Sustainable Specialty Coffee Farm Awards,S107",泥妲咖啡 Nita Coffee Manor,,Taiwan Coffee Laboratory,600,"花蓮縣秀林鄉 Xiulin Township, Hualien County","戴豐秋 Dai,fong-ciou",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,8.0,7.92,7.67,7.92,7.75,8.0,10.0,10.0,10.0,7.92,0.0,85.17,10.4,0,1,yellow-green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
94,94,Taiwan,九一七農場917 Farm,2025花蓮縣第九屆精品咖啡評鑑批次,九一七農場917 Farm,,Taiwan Coffee Laboratory,300,"Yuli Township, Hualien County","黃怡瑄HUANG,YI-SYUAN",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Catimor,Completed,Natural / Dry,7.92,8.0,7.83,7.83,7.75,7.83,10.0,10.0,10.0,8.0,0.0,85.17,12.2,0,0,yellowish,1,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
95,95,Kenya,TINGANGA ESTATE,SAS: 7246 AA TOP,Sasini Coffee Mill,,Sasini (K) Limited,1800-2100,MT KENYA,SASINI PLC - TINGANGA ESTATE,960,60 kg,Kenya Coffee Traders Association,2024 / 2025,"January 21st, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8.0,7.92,7.75,7.75,7.83,8.0,10.0,10.0,10.0,7.92,0.0,85.17,11,0,0,greenish,1,"January 21st, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
96,96,Cambodia,PIDA COFFEE FARM,AR1,PIDA COFFEE FARM,,Babros Coffee Works,700,Mondulkiri,PIDA COFFEE FARM,3,30 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"March 24th, 2025",BABROS COFFEE WORKS,Catimor,Completed,Aerobic natural,7.92,8.0,7.58,8.17,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.17,12,0,1,green,0,"March 24th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
97,97,Kenya,TINGANGA ESTATE,SAS: 7418 AB FAQ,Sasini Coffee Mill,,Sasini Plc,1800-2150,MT KENYA,SASINI PLC - TINGANGA ESTATE,150,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL34,Completed,Washed / Wet,8.0,8.0,7.58,7.83,7.92,7.92,10.0,10.0,10.0,7.92,0.0,85.17,11.1,0,0,green,5,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
98,98,Ethiopia,Chelba,AMG/NYCG1/2/25,Chelba washing station,010/0398/0486,Taiwan Coffee Laboratory,1800-2200,SNNP Gedeo Zone Ethiopia,Chelba washing station,840,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Hairloom,Completed,Natural / Dry,7.92,8.0,7.75,7.92,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.17,10.2,0,0,greenish,2,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
99,99,Kenya,KAMUNDU ESTATE,SAS: 7429 AA TOP,Sasini Coffee Mill,,Sasini Plc,1800-2150,MT KENYA,SASINI PLC - KAMUNDU ESTATE,88,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 25th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,7.83,7.75,7.83,8.08,7.83,7.92,10.0,10.0,10.0,7.83,0.0,85.08,11,0,0,green,1,"March 25th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
100,100,Vietnam,ARA FARM VƯỜN HOÀNG LUẬN,TT02,dry mill,,Total feeling coffee,550,QUANG TRI,ARA FARM VƯỜN HOÀNG LUẬN,1,2 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"June 30th, 2025",NGUYEN VAN HOA,Catimor,Completed,Natural / Dry,8.08,7.83,7.75,7.83,7.83,7.92,10.0,10.0,10.0,7.83,0.0,85.08,11.3,0,0,green,1,"June 30th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
101,101,Thailand,ไร่ดินดี tea&coffee,1,wet hull,,Rai Dindee Tea&Coffee,1350,Ban Doi-Ngam,Hassadin Merlae,2,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"November 7th, 2024",Hassadin Merlae,Catimor,Completed,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.75,10.0,10.0,10.0,7.83,0.0,85.08,9.5,0,0,,0,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
102,102,Kenya,GULMARG ESTATE,SAS: 7247 AB TOP,Sasini Coffee Mill,,Sasini (K) Limited,1800-2100,MT KENYA,SASINI PLC - GULMARG ESTATE,1280,60 kg,Kenya Coffee Traders Association,2024 / 2025,"January 21st, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8.17,7.92,7.75,7.75,7.83,7.83,10.0,10.0,10.0,7.75,0.0,85.0,11,0,0,greenish,5,"January 21st, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
103,103,Thailand,soomio farm,1,hulling,,Soomio coffee farm,1480,Maesruai Chaingrai,sinthop juepa,1,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"October 29th, 2024",Sinthop Juepa,Typica,Completed,Washed / Wet,7.83,7.92,7.92,7.92,7.92,7.83,10.0,10.0,10.0,7.67,0.0,85.0,10.8,0,0,,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
104,104,Kenya,VARIOUS,CN 4124250506 - K33182,KIRINYAGA MILL,37/00045/250506,C.DORMAN SEZ LTD,1600-1800,KIRINYAGA,VARIOUS,600,30 kg,Kenya Coffee Traders Association,2024 / 2025,"February 25th, 2025",Gilbert Maina,SL28,Completed,Washed / Wet,8.08,7.83,7.75,7.67,8.0,7.83,10.0,10.0,10.0,7.83,0.0,85.0,11,0,0,green,2,"February 25th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
105,105,Guatemala,Finca Alta Luz,11/63/889,Beneficio Seco (Patios),11/63/889,Asociación Nacional del Cafe,1300-1400,Huehuetenango,María de los Angeles Perez,300,30 kg,Asociacion Nacional Del Café,2024 / 2025,"May 19th, 2025",Evelin Isabel Hernández Paxtor,Bourbon,Completed,Washed / Wet,7.75,8.0,7.67,8.0,7.83,7.92,10.0,10.0,10.0,7.83,0.0,85.0,11.1,0,1,green,2,"May 19th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
106,106,Thailand,weerasak family,14,Doichang and Pangkhong,,"Neo Java Co., Ltd.",1300,เชียงราย,Weerasak Sathitsapsin,10,100 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"September 23rd, 2025",ShuChan (Jennifer) Lin,Catimor,Completed,Natural / Dry,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.92,0.0,85.0,10.6,0,0,pale greenish,4,"September 23rd, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
107,107,Colombia,VARIOS,3-01-17557,"ALMACAFE ARMENIA, QUINDIO",3-01-17557,Federación de cafeteros de Colombia,1100 a 1800,QUINDIO,VARIOS,375,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"September 25th, 2025",Camilo Mosquera,Other,Completed,Washed / Wet,8.08,7.83,7.67,7.92,7.92,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.5,0,0,green,2,"September 25th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
108,108,Thailand,SOFT Coffee,Wash Carbonic,"Mogoju Bean co.,ltd.",,SOFT Coffee,1200,"Omkoi,Chiangmai,Thailand",Ms.Radchadaporn Junprasert,2,25 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Radchadaporn,"Catimor ,Typica, Bourbon",Completed,Wash Carbonic Process,7.92,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,8.0,0.0,85.0,10.3,0,0,,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
109,109,"Tanzania, United Republic Of",IYENGA,S75511/P06515,CITY COFFEE LTD,,VOLCAFE/TaylorWinch Tanzania Ltd,1624,Mbeya,IYENGA AMCOS,600,30 kg,Kenya Coffee Traders Association,2025 / 2026,"September 4th, 2025",Balam Hinyula,Bourbon,Completed,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.92,0.0,85.0,11.2,0,0,green,5,"September 4th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
110,110,Taiwan,一斗夢咖啡莊園 A Bucket of Dreams Coffee Manor,"2024 Sustainable Specialty Coffee Farm Awards,S041",一斗夢咖啡莊園 A Bucket of Dreams Coffee Manor,,Taiwan Coffee Laboratory,180,"花蓮縣壽豐鄉 Shoufeng Township, Hualien County",黃則恭 HUANG ZE GONG,1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023 / 2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.83,7.83,7.83,7.83,7.75,7.92,10.0,10.0,10.0,8.0,0.0,85.0,11.2,0,0,greenish,3,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
111,111,Thailand,Leepee coffee,500,แปรรูป,,เกษตรกร,1400,ภาคเหนือ,dry,20,15 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",อาโช พิสัยเลิศ,Catimor,Completed,Natural / Dry,8.0,8.0,7.75,7.75,8.0,7.67,10.0,10.0,10.0,7.83,0.0,85.0,13.9,0,0,yellowish,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
112,112,Thailand,Yai-Orn,W07,mogojubean,,Yai-orn,1200,Chiangmai,Buachum Jakkaew,4,25 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Buachum Jakkaew,Mix typica bourbon catuai Caturra,Completed,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.0,12.6,0,0,green,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
113,113,Thailand,SOFT Coffee,Natural Carbonic,Mogojubean,,SOFT Coffee,1200-1300,Omkoi,Wish Junprasert,3,25 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Wish Junprasert,Catimor,Completed,Natural / Dry,7.83,7.92,7.83,7.83,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.92,11.6,0,0,greenish,0,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
114,114,Taiwan,青葉咖啡莊園 Ching Ye Coffee Estate,"2024 Sustainable Specialty Coffee Farm Awards,S046",青葉咖啡莊園 Ching Ye Coffee Estate,,Taiwan Coffee Laboratory,1100,"嘉義縣梅山鄉 Meishan Township, Chiayi County","葉世遠 YEH,SHIN-YUAN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.83,7.92,7.92,8.0,7.75,7.67,10.0,10.0,10.0,7.83,0.0,84.92,10.6,0,0,green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
115,115,Taiwan,卓武山咖啡,C18,卓武山咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,許峻榮,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.75,8.0,7.92,7.92,7.67,7.92,10.0,10.0,10.0,7.75,0.0,84.92,9.3,0,0,green,0,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
116,116,Taiwan,馨晴咖啡莊園 Good Mood Coffee,"2024 Sustainable Specialty Coffee Farm Awards,S122",馨晴咖啡莊園 Good Mood Coffee,,Taiwan Coffee Laboratory,900,"南投縣國姓鄉 Guoxing Township, Nantou County","黃美桃 Huang, Mei Tao",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.92,8.08,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,0.0,84.92,9.6,0,0,greenish,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
117,117,Kenya,KAMUNDU ESTATE,SAS: 7416 AA TOP,Sasini Coffee Mill,,Sasini (K) Limited,1800-2100,MT KENYA,SASINI PLC - KAMUNDU ESTATE,65,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 18th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,8.0,7.83,7.75,7.75,7.75,8.0,10.0,10.0,10.0,7.83,0.0,84.92,10.8,0,0,greenish,5,"March 18th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
118,118,Taiwan,村長天池咖啡(Zhang Chang Tian Chi Coffee Estate),2025臺南市國產精品咖啡評鑑批次,村長天池咖啡(Zhang Chang Tian Chi Coffee Estate),,Taiwan Coffee Laboratory,780,"臺南市東山區 Dongshan Dist., Tainan City","陳水連(Chen,Shuei-Lian)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,7.75,7.83,7.83,7.92,7.58,7.92,10.0,10.0,10.0,8.08,0.0,84.92,10.8,0,0,greenish,0,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
119,119,Guatemala,Finca las Brisas y Anexos,11/63/890,Beneficio Seco (Patios),11/63/890,Asociación Nacional del Cafe,1500-1600,Huehuetenango,Hervin Gustavo Aguirre Velásquez,300,30 kg,Asociacion Nacional Del Café,2024 / 2025,"May 19th, 2025",Evelin Isabel Hernández Paxtor,Bourbon,Completed,Washed / Wet,7.83,7.92,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.92,0.0,84.83,11.1,0,0,green,4,"May 19th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
120,120,Taiwan,COFEE BERRIES MANOR,C211,COFEE BERRIES MANOR,,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,7.92,7.92,7.75,7.83,7.83,7.75,10.0,10.0,10.0,7.83,0.0,84.83,10.5,0,1,green,5,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
121,121,Brazil,Ofi - Olam Food Ingredients,S040263-5,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1600,96000 kg,Brazil Specialty Coffee Association,2025,"September 23rd, 2025",ADRYELLI CRISTINA SILVA,Catuai,Completed,Natural / Dry,7.67,7.75,7.67,8.0,7.92,7.75,10.0,10.0,10.0,8.08,0.0,84.83,11,0,0,green,0,"September 23rd, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
122,122,Taiwan,鄭美珠的黃波旁 咖啡莊園,"2024 Sustainable Specialty Coffee Farm Awards,S090",鄭美珠的黃波旁 咖啡莊園,,Taiwan Coffee Laboratory,230,"花蓮縣瑞穗鄉 Ruisui Township, Hualien County","鄭美珠 ZHENG,MEI-ZHU",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Yellow Bourbon,Completed,Washed / Wet,7.92,7.92,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.83,10.8,0,0,green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
123,123,Colombia,VARIOS,3-01-17559,"ALMACAFE ARMENIA, QUINDIO",3-01-17559,Federación de cafeteros de Colombia,1100 a 1800,QUINDIO,VARIOS,375,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"September 26th, 2025",Camilo Mosquera,,Completed,Washed / Wet,7.92,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.83,10.1,0,0,green,4,"September 26th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
124,124,Taiwan,珍富咖啡,C03,珍富咖啡,,Taiwan Coffee Laboratory,1300,嘉義/阿里山鄉,浦珍珠,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Purpurascens,Completed,Washed / Wet,7.83,7.92,7.83,7.83,7.67,7.83,10.0,10.0,10.0,7.92,0.0,84.83,11.4,0,0,blue-green,0,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
125,125,Indonesia,Andi Septiadi,329,Yes,,Andi Septiadi,1400,Indonesia,Andi Septiadi,1,50 kg,EKATA COFFEE CENTER,2024 / 2025,"October 13th, 2025",shameel,Other,Completed,Natural / Dry,7.92,7.92,7.75,8.17,7.5,7.67,10.0,10.0,10.0,7.92,0.0,84.83,11.6,0,0,yellow-green,1,"October 13th, 2026",EKATA COFFEE CENTER,"321/1, SIRAGUNDA VILLAGE, KASABA HOBLI, MUGTHIHALLI, CHIKKAMAGALURU, KARNATAKA, 577101",Shameel CP // Vivek Kolathai - +919995959888. - +919746845248
126,126,Guatemala,Los Quequezques,11/183/11,"Beneficio Santa Rita, S.A",11/183/11,Asociación Nacional del Cafe,1600-1800,San Juan Sacatepéquez,"Agroindustrial Magna, S.A",115,30 kg,Asociacion Nacional Del Café,2024 / 2025,"July 2nd, 2025",Evelin Isabel Hernández Paxtor,Sarchimor,Completed,Washed / Wet,7.83,8.0,7.67,7.75,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.75,11.2,0,1,green,4,"July 2nd, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
127,127,Taiwan,龍眼林九號,"2024 Sustainable Specialty Coffee Farm Awards,S099",龍眼林九號,,Taiwan Coffee Laboratory,950,"嘉義縣梅山鄉 Meishan Township, Chiayi County","曾啓榮 ZENG,QI-RONG",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Natural / Dry,7.75,7.92,7.75,7.83,7.75,7.75,10.0,10.0,10.0,8.0,0.0,84.75,10.2,0,0,yellow-green,0,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
128,128,Thailand,Akaza GM Farm,1,hulling facility,,Akaza GM Farm,1300,maechantai,Anusorn Chuepa,2,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"October 29th, 2024",Anusorn,Java,Completed,Washed / Wet,7.75,7.83,7.92,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.67,10.4,0,0,,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
129,129,Taiwan,崁頭山紅楓咖啡(Kan Tou Mountain Coffee),2025臺南市國產精品咖啡評鑑批次,崁頭山紅楓咖啡(Kan Tou Mountain Coffee),,Taiwan Coffee Laboratory,750,"臺南市東山區 Dongshan Dist., Tainan City","郭俊宏 (Kuo,Jun-Hong)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.0,7.92,7.83,7.58,7.5,7.92,10.0,10.0,10.0,7.92,0.0,84.67,8.9,0,1,yellow-green,0,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
